,Rotation,Speed,Rudder,Apparent_wind_direction,Apparent_wind_speed,Class
0,-707.74,-15.76,13.6,343.04,27.06,1
1,-770.34,14.21,-16.86,-163.52,-20.5,1
2,-491.44,-12.46,9.28,253.05,10.46,1
3,237.13,23.2,-26.78,-154.7,13.8,1
4,-498.93,32.34,13.95,-24.5,38.64,1
5,-689.36,12.2,-9.44,321.93,33.09,1
6,226.14,28.63,3.7,-139.06,35.57,1
7,-759.5,20.96,20.62,100.54,27.94,1
8,145.95,11.48,-41.43,301.82,12.92,1
9,-56.93,18.56,-40.57,-170.39,0.46,1
10,555.16,43.47,-3.68,281.42,15.99,1
11,419.51,39.88,-2.81,-4.51,33.49,1
12,511.94,36.47,2.6,-29.7,-15.61,1
13,467.63,11.25,-41.53,105.64,4.39,1
14,-482.81,20.37,-5.06,-24.26,-20.5,1
15,-158.44,41.82,-27.44,67.19,43.1,1
16,505.11,-5.82,-28.7,181.21,-6.55,1
17,325.96,35.94,24.68,-139.78,45.27,1
18,-360.07,-12.2,12.53,-122.3,20.84,1
19,240.23,29.46,-17.91,36.66,4.38,1
20,-242.64,-6.36,-2.92,306.93,-1.19,1
21,-234.38,40.33,-36.01,-61.0,15.61,1
22,-65.11,-15.89,16.75,-77.03,4.28,1
23,-732.02,15.29,18.48,5.26,0.3,1
24,-488.86,29.44,-12.85,167.83,37.7,1
25,-187.63,33.85,22.72,-84.81,15.44,1
26,568.88,30.21,4.59,-112.89,-5.9,1
27,-629.33,39.55,2.97,209.28,12.55,1
28,494.6,-6.7,0.21,55.42,31.96,1
29,513.95,40.99,-0.85,103.32,21.71,1
30,378.59,27.28,-37.48,253.57,24.43,1
31,-75.85,-14.55,1.99,-31.25,18.69,1
32,-487.71,41.65,-24.94,75.93,-12.82,1
33,-561.03,32.21,-22.57,228.38,-10.51,1
34,539.71,11.93,-16.37,105.3,29.87,1
35,365.81,2.22,-21.9,-30.7,-9.67,1
36,290.11,13.48,-30.4,204.38,20.13,1
37,551.89,40.0,-3.85,205.61,7.43,1
38,313.9,-17.37,24.16,331.22,-15.49,1
39,-726.66,34.94,11.01,0.84,28.44,1
40,329.97,42.49,-5.32,146.29,-20.54,1
41,298.84,29.32,-29.46,-111.85,19.54,1
42,-120.3,-4.14,24.44,-60.77,25.24,1
43,-649.69,-4.44,-33.87,-69.18,1.8,1
44,-497.13,0.71,-3.07,4.02,44.29,1
45,353.76,39.92,-17.18,81.12,25.23,1
46,-147.05,36.05,15.96,245.47,-10.22,1
47,332.56,-14.25,-18.29,78.17,29.77,1
48,542.59,-4.91,-3.85,-79.59,7.55,1
49,-598.29,39.52,-20.33,263.36,20.98,1
50,448.05,44.19,-14.13,315.24,30.77,1
51,400.49,29.06,24.4,228.96,-17.47,1
52,-69.51,32.91,-22.86,354.54,43.9,1
53,101.57,18.77,-19.42,-85.95,22.55,1
54,-739.24,-14.79,-34.81,-106.09,-5.51,1
55,401.61,43.7,11.17,142.07,-11.58,1
56,-457.06,42.8,18.8,265.11,-10.52,1
57,408.72,-5.87,-28.35,-103.47,-19.86,1
58,-530.56,38.62,20.94,-70.22,29.15,1
59,-375.46,6.93,-15.65,331.32,-1.13,1
60,-302.71,27.78,-25.28,72.26,-18.38,1
61,-209.88,26.88,-34.58,101.36,44.68,1
62,-513.34,-7.09,19.67,-156.44,19.46,1
63,192.28,35.41,-20.51,245.18,36.98,1
64,230.46,-15.73,19.43,159.65,-20.12,1
65,-356.31,-6.65,-34.42,259.92,41.36,1
66,-716.94,24.36,-3.63,224.51,39.15,1
67,-259.81,42.45,13.46,345.86,24.2,1
68,384.3,34.19,22.1,-140.97,4.61,1
69,-263.82,-14.82,-24.5,226.84,-10.99,1
70,501.44,36.32,11.92,192.11,25.09,1
71,-27.01,36.73,-33.63,-155.95,17.77,1
72,-245.86,-4.69,14.99,-170.75,18.23,1
73,-543.88,-17.53,5.21,96.32,-3.75,1
74,-452.41,-10.45,-0.67,207.42,-20.37,1
75,437.53,5.7,-34.58,-59.26,-8.88,1
76,-381.11,-6.34,-2.55,79.98,-5.22,1
77,-615.91,37.28,-11.63,317.83,-2.11,1
78,-462.28,29.72,-0.61,-111.44,24.43,1
79,-748.39,28.2,-40.01,201.66,15.26,1
80,423.43,18.73,-4.2,129.22,11.09,1
81,556.67,-0.32,9.62,105.89,38.58,1
82,100.71,40.91,-13.98,237.53,41.01,1
83,233.21,44.68,21.44,347.85,10.5,1
84,210.69,42.24,-23.06,-92.23,32.23,1
85,339.0,-15.94,-26.39,-7.88,42.64,1
86,573.72,-15.87,12.5,-28.85,-18.15,1
87,-760.83,6.44,9.44,-80.37,35.69,1
88,380.78,42.02,-12.89,-57.9,5.62,1
89,-593.47,19.0,12.84,-155.36,-21.06,1
90,-662.58,-12.04,-8.66,-104.71,-20.12,1
91,-8.37,17.79,-38.14,150.67,16.57,1
92,-754.37,12.69,-36.47,-116.99,35.74,1
93,219.7,5.74,-21.42,-72.55,-9.08,1
94,-698.62,14.1,7.78,45.8,2.13,1
95,480.42,31.49,-22.8,99.0,3.61,1
96,-776.36,7.78,-28.22,-78.27,-2.11,1
97,294.93,26.89,-1.31,-89.93,15.47,1
98,-444.11,3.54,13.8,260.95,-6.21,1
99,-361.79,-2.0,-5.34,43.26,-17.04,1
100,546.17,27.54,-32.56,-11.8,8.73,1
101,-485.47,29.79,5.03,-92.29,-21.46,1
102,-526.5,5.02,3.05,-121.43,-8.38,1
103,262.09,-3.01,-23.81,336.12,1.06,1
104,462.95,37.79,-19.29,-14.26,38.38,1
105,583.35,6.47,11.81,-26.63,18.81,1
106,-700.42,35.82,9.5,-37.01,44.26,1
107,-432.17,34.1,-2.74,-84.29,-8.01,1
108,464.84,41.1,20.77,141.92,15.56,1
109,438.16,32.82,-15.07,57.67,-9.76,1
110,-671.95,36.46,-42.63,-42.67,-18.31,1
111,-18.22,-14.85,-41.06,-164.15,32.89,1
112,372.95,-13.11,7.16,-126.01,28.47,1
113,232.0,-9.24,-11.18,-76.39,19.34,1
114,-101.72,37.15,-30.89,164.23,7.79,1
115,456.42,20.51,-33.62,249.48,3.98,1
116,-516.65,-8.17,-18.81,173.8,28.26,1
117,-159.13,45.47,19.77,155.65,-6.42,1
118,445.25,2.2,13.78,20.74,2.92,1
119,544.44,33.78,-24.97,150.33,45.52,1
120,-521.35,28.99,-17.67,167.32,39.66,1
121,-529.02,-5.32,14.27,333.85,42.56,1
122,251.67,19.32,9.99,297.64,-14.82,1
123,425.37,-1.88,-21.91,359.19,-9.44,1
124,-440.31,-6.01,4.28,59.12,10.01,1
125,530.86,27.82,0.65,263.93,18.6,1
126,235.09,1.78,-37.33,85.23,-14.12,1
127,-218.93,34.19,18.61,69.37,-12.73,1
128,-60.66,5.1,2.29,343.48,-10.59,1
129,-291.19,5.23,-14.29,-111.19,41.56,1
130,-301.6,9.42,16.03,238.12,-14.89,1
131,500.94,8.11,-11.97,75.16,16.48,1
132,267.88,-14.36,-18.32,133.06,3.73,1
133,460.98,15.38,-24.65,75.18,37.14,1
134,295.38,10.31,-8.65,240.79,17.5,1
135,-149.53,9.02,-39.78,-99.74,-18.87,1
136,371.73,36.9,8.91,-31.14,45.48,1
137,-438.6,26.23,-12.66,133.23,-21.81,1
138,558.46,31.23,-13.07,-149.72,31.51,1
139,-723.58,-6.73,4.9,205.98,4.84,1
140,-22.25,35.48,-9.97,-98.11,19.42,1
141,-626.52,37.84,8.24,97.32,-20.56,1
142,-343.46,5.34,-23.18,275.45,37.4,1
143,51.34,-12.28,-23.23,-89.98,-18.68,1
144,4.28,11.49,-23.91,155.13,-20.71,1
145,-489.06,28.2,-7.38,197.87,14.18,1
146,-549.49,24.62,24.47,-149.05,34.49,1
147,-632.68,11.91,4.1,-94.61,13.99,1
148,554.63,26.82,19.68,216.62,-3.46,1
149,435.2,27.37,-3.72,-149.78,25.78,1
150,97.29,24.74,-20.61,-155.3,4.4,1
151,238.51,13.8,-10.44,17.88,24.4,1
152,360.26,35.94,-22.95,-76.24,-9.08,1
153,-399.96,23.98,7.81,243.38,21.66,1
154,-643.21,19.03,5.75,68.28,43.75,1
