datetime,id,mmsi,NavigationalStatus,SpeedOverGround_SOG,CourseOverGround_COG,Heading,VesselType,width,length,draught,Rotation,Speed,Rudder,WindDirection,WindSpeed_Knots,Class,Vessel_SK,Time_SK,Route_SK,Weather_SK,Position_SK,Sensor_SK,Navigation_SK,FuelConsumption_Liters,ShipSpeed_Knots,EngineTemperature_C,TravelDistance_Miles,Latitude,Longitude,WaveHeight_Meters,AirTemperature_C,DeparturePort,ArrivalPort,RouteName,VesselName,IMONumber,Flag,YearBuilt,GrossTonnage,Deadweight,SensorType,Status,LastCalibrationDate
2024-01-01 00:00:00,0,219019621,Unknown value,0.0,86.0,86.0,Fishing,4.0,9.0,,-707.74,-15.76,13.6,343.04,27.06,1,1,1102,2,4,8,4,14,116.53,15.76,89.84,24.85,5.061218,103.241594,2.75,28.58,Surabaya,Belawan,Surabaya to Belawan,Ship_1,IMO9280048,Panama,1998,46355,56283,Engine Sensor,Inactive,2022-09-07
2024-01-01 00:01:00,1,265628170,Unknown value,0.0,334.5,,Port tender,8.0,27.0,,-770.34,14.21,-16.86,-163.52,-20.5,1,2,1435,4,3,53,16,7,432.62,14.21,114.07,34.97,-8.806921,128.997902,2.52,31.45,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_2,IMO9641720,Singapore,2010,25653,42285,Fuel Meter,Maintenance Required,2023-04-17
2024-01-01 00:02:00,2,219005719,Unknown value,0.0,208.7,,Fishing,4.0,11.0,,-491.44,-12.46,9.28,253.05,10.46,1,3,1860,9,9,14,33,4,161.72,12.46,102.54,28.41,2.191221,99.375733,1.31,23.35,Surabaya,Makassar,Surabaya to Makassar,Ship_3,IMO9453012,Indonesia,2004,27006,42945,AIS,Active,2022-10-29
2024-01-01 00:03:00,3,219028066,Unknown value,0.0,,,Pleasure,3.0,12.0,,237.13,23.2,-26.78,-154.7,13.8,1,4,1270,1,4,71,9,1,470.27,23.2,98.97,63.82,0.206327,119.99904,0.79,24.11,Port Klang,Belawan,Port Klang to Belawan,Ship_4,IMO9841706,Panama,2021,4633,7950,AIS,Active,2023-11-16
2024-01-01 00:04:00,4,212584000,Moored,0.0,153.0,106.0,Cargo,13.0,99.0,6.3,-498.93,32.34,13.95,-24.5,38.64,1,5,1106,1,6,7,40,4,152.22,32.34,119.01,44.93,-4.404922,126.585563,1.01,30.27,Port Klang,Belawan,Port Klang to Belawan,Ship_5,IMO9738638,Singapore,1999,37301,50925,Fuel Meter,Maintenance Required,2023-06-02
2024-01-01 00:05:00,5,636020662,At anchor,0.1,43.9,286.0,Cargo,23.0,149.0,6.3,-689.36,12.2,-9.44,321.93,33.09,1,6,1071,7,8,9,38,14,386.13,12.2,84.03,23.55,4.604315,122.779221,2.73,24.72,Port Klang,Tanjung Priok,Port Klang to Tanjung Priok,Ship_6,IMO9536589,Singapore,1998,15240,32593,Gyroscope,Inactive,2023-07-18
2024-01-01 00:06:00,6,219006116,Unknown value,0.0,0.0,,Fishing,,,,226.14,28.63,3.7,-139.06,35.57,1,7,1700,3,8,3,18,16,77.95,28.63,73.26,69.18,5.510977,103.373824,4.32,30.87,Surabaya,Belawan,Surabaya to Belawan,Ship_7,IMO9392028,Liberia,2018,17418,36446,AIS,Active,2022-10-25
2024-01-01 00:07:00,7,246539000,At anchor,0.0,3.8,293.0,Cargo,16.0,150.0,6.8,-759.5,20.96,20.62,100.54,27.94,1,8,1020,2,5,78,16,7,333.42,20.96,95.8,57.54,2.25226,119.035179,3.31,33.99,Surabaya,Belawan,Surabaya to Belawan,Ship_8,IMO9330225,Indonesia,2014,975,10141,Fuel Meter,Maintenance Required,2023-04-17
2024-01-01 00:08:00,8,210307000,Moored,0.0,285.1,225.0,Cargo,16.0,90.0,5.2,145.95,11.48,-41.43,301.82,12.92,1,9,1614,9,5,17,8,10,148.4,11.48,91.2,30.76,4.606171,116.823779,0.95,22.97,Surabaya,Makassar,Surabaya to Makassar,Ship_9,IMO9152742,Indonesia,2014,30677,39179,Anemometer,Inactive,2023-06-16
2024-01-01 00:09:00,9,219003138,Unknown value,0.0,0.0,,Fishing,4.0,10.0,,-56.93,18.56,-40.57,-170.39,0.46,1,10,1121,3,6,44,23,10,351.58,18.56,92.71,30.88,5.676015,106.317581,2.25,28.54,Surabaya,Belawan,Surabaya to Belawan,Ship_10,IMO9638928,Singapore,2013,36599,53922,Anemometer,Active,2023-07-09
